POSITIONS,UNIQUE ID,ID TYPE,NAME,POSITION UNITS,PORTFOLIO,PRICE,CURRENCY
,CX_US037389AW39_USD,ISIN,CX_US037389AW39_USD,100,Fixed Rate Bond,,USD
,CX_PHY1244L1009_PHS,ISIN,CX_PHY1244L1009_PHS,100,Common Stock,,USD
,CX_CH0228622392_CHF,ISIN,CX_CH0228622392_CHF,100,Fixed Rate Bond,,USD
,CX_US14912L6M89_USD,ISIN,CX_US14912L6M89_USD,100,Fixed Rate Bond,,USD
,CX_US8043951016_NYQ,ISIN,CX_US8043951016_NYQ,100,Common Stock,,USD
,CX_GB00B033F229_LSE,ISIN,CX_GB00B033F229_LSE,100,Common Stock,,USD
,CX_US12189LAU52_USD,ISIN,CX_US12189LAU52_USD,100,Interest Rate Index Linked Note,,USD
,CX_US29379VAA17_USD,ISIN,CX_US29379VAA17_USD,100,Fixed Rate Bond,,USD
,CX_US59022CAB90_USD,ISIN,CX_US59022CAB90_USD,100,Fixed Rate Bond,,USD
,CX_FR0010040865_PAR,ISIN,CX_FR0010040865_PAR,100,Common Stock,,USD
,CX_JP3435000009_TYO,ISIN,CX_JP3435000009_TYO,100,Common Stock,,USD
,CX_US912810ES34_USD,ISIN,CX_US912810ES34_USD,100,Fixed Rate Bond,,USD
,CX_XS0471436088_GBP,ISIN,CX_XS0471436088_GBP,100,Fixed Rate Bond,,USD
,CX_US655044AD79_USD,ISIN,CX_US655044AD79_USD,100,Fixed Rate Bond,,USD
,CX_US20030NBX84_USD,ISIN,CX_US20030NBX84_USD,100,Interest Rate Index Linked Note,,USD
,CX_US1152361010_NYQ,ISIN,CX_US1152361010_NYQ,100,Common Stock,,USD
,RSOC_DUMMY_1,ISIN,RSOC_DUMMY_1,100,Fixed Rate Bond,,USD
,CX_BMG8165U1009_HKG,ISIN,CX_BMG8165U1009_HKG,100,Common Stock,,USD
,CX_US25456K1016_NYQ,ISIN,CX_US25456K1016_NYQ,100,Common Stock,,USD
,CX_US20030NBJ90_USD,ISIN,CX_US20030NBJ90_USD,100,Fixed Rate Bond,,USD
,CX_CA3748252069_CAQ,ISIN,CX_CA3748252069_CAQ,100,Common Stock,,USD
,CX_US191216AV26_USD,ISIN,CX_US191216AV26_USD,100,Fixed Rate Bond,,USD
,CX_TRAISCTR91N2_IST,ISIN,CX_TRAISCTR91N2_IST,100,Common Stock,,USD
,CX_FI0009013403_HEX,ISIN,CX_FI0009013403_HEX,100,Common Stock,,USD
,CX_TW0001227007_TAI,ISIN,CX_TW0001227007_TAI,100,Common Stock,,USD
,CX_NO0003028904_OSL,ISIN,CX_NO0003028904_OSL,100,Common Stock,,USD
,48501_00001696 - Forex Leg CHF,ISIN,48501_00001696 - Forex Leg CHF,100,Fixed Rate Bond,,USD
,CX_XS1573944524_USD,ISIN,CX_XS1573944524_USD,100,Floating Rate Note,,USD
,CX_US024836AA65_USD,ISIN,CX_US024836AA65_USD,100,Interest Rate Index Linked Note,,USD
,301307_00000681 - Forex Leg USD,ISIN,301307_00000681 - Forex Leg USD,100,Fixed Rate Bond,,USD
,CX_TW0001303006_TAI,ISIN,CX_TW0001303006_TAI,100,Common Stock,,USD
,CX_US26853A1007_NYQ,ISIN,CX_US26853A1007_NYQ,100,Common Stock,,USD
,CX_XS1531570221_EUR,ISIN,CX_XS1531570221_EUR,100,Fixed Rate Bond,,USD
,CX_XS0399412443_GBP,ISIN,CX_XS0399412443_GBP,100,Fixed Rate Bond,,USD
,CX_TH0765010Z16_SET,ISIN,CX_TH0765010Z16_SET,100,Common Stock,,USD
,CX_TW0002451002_TAI,ISIN,CX_TW0002451002_TAI,100,Common Stock,,USD
,CX_US172967LM17_USD,ISIN,CX_US172967LM17_USD,100,Interest Rate Index Linked Note,,USD
,85027_00004817 - Forex Leg CHF,ISIN,85027_00004817 - Forex Leg CHF,100,Fixed Rate Bond,,USD
,CX_US46625HMN79_USD,ISIN,CX_US46625HMN79_USD,100,Interest Rate Index Linked Note,,USD
,CX_US929089AD25_USD,ISIN,CX_US929089AD25_USD,100,Interest Rate Index Linked Note,,USD
,CX_CLP1506A1070_SGO,ISIN,CX_CLP1506A1070_SGO,100,Common Stock,,USD
,CX_CA34527ABH29_CAD,ISIN,CX_CA34527ABH29_CAD,100,Fixed Rate Bond,,USD
,CX_US87968A1043_NAQ,ISIN,CX_US87968A1043_NAQ,100,Common Stock,,USD
,CX_US842400EB53_USD,ISIN,CX_US842400EB53_USD,100,Fixed Rate Bond,,USD
,CX_US14042RFH93_USD,ISIN,CX_US14042RFH93_USD,100,Interest Rate Index Linked Note,,USD
,CX_US03027XAC48_USD,ISIN,CX_US03027XAC48_USD,100,Fixed Rate Bond,,USD
,CX_US00206REM07_USD,ISIN,CX_US00206REM07_USD,100,Interest Rate Index Linked Note,,USD
,CX_US4026353049_NSQ,ISIN,CX_US4026353049_NSQ,100,Common Stock,,USD
,CX_CH0336352734_CHF,ISIN,CX_CH0336352734_CHF,100,Fixed Rate Bond,,USD
,CX_FR0010425595_PAR,ISIN,CX_FR0010425595_PAR,100,Common Stock,,USD
,CX_US70213BAA98_USD,ISIN,CX_US70213BAA98_USD,100,Fixed Rate Bond,,USD
,CX_TW0009907006_TAI,ISIN,CX_TW0009907006_TAI,100,Common Stock,,USD
,CX_NL0011375019_JNB,ISIN,CX_NL0011375019_JNB,100,Common Stock,,USD
,CX_US896522AH27_USD,ISIN,CX_US896522AH27_USD,100,Interest Rate Index Linked Note,,USD
,CX_XS1017828911_EUR,ISIN,CX_XS1017828911_EUR,100,Interest Rate Index Linked Note,,USD
,CX_XS0541620901_EUR,ISIN,CX_XS0541620901_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US912810EC81_USD,ISIN,CX_US912810EC81_USD,100,Fixed Rate Bond,,USD
,302226_00000691 - Forex Leg AUD,ISIN,302226_00000691 - Forex Leg AUD,100,Fixed Rate Bond,,USD
,CX_CA29251ZBF32_CAD,ISIN,CX_CA29251ZBF32_CAD,100,Interest Rate Index Linked Note,,USD
,CX_IT0003506190_MIL,ISIN,CX_IT0003506190_MIL,100,Common Stock,,USD
,CX_US8684591089_NMQ,ISIN,CX_US8684591089_NMQ,100,Common Stock,,USD
,CX_XS1014610254_EUR,ISIN,CX_XS1014610254_EUR,100,Fixed Rate Bond,,USD
,CX_US80281LAC90_USD,ISIN,CX_US80281LAC90_USD,100,Fixed Rate Bond,,USD
,HB90185 FX Forward GBP,ISIN,HB90185 FX Forward GBP,100,Fixed Rate Bond,,USD
,CX_US443510AG72_USD,ISIN,CX_US443510AG72_USD,100,Interest Rate Index Linked Note,,USD
,CX_US686330AH40_USD,ISIN,CX_US686330AH40_USD,100,Fixed Rate Bond,,USD
,CX_KR7138930003_KSC,ISIN,CX_KR7138930003_KSC,100,Common Stock,,USD
,CX_HK0010000088_HKG,ISIN,CX_HK0010000088_HKG,100,Common Stock,,USD
,CX_CA759480AH94_CAD,ISIN,CX_CA759480AH94_CAD,100,Fixed Rate Bond,,USD
,CX_XS1548444816_EUR,ISIN,CX_XS1548444816_EUR,100,Fixed Rate Bond,,USD
,CX_US097023BH74_USD,ISIN,CX_US097023BH74_USD,100,Interest Rate Index Linked Note,,USD
,CX_XS0787786440_EUR,ISIN,CX_XS0787786440_EUR,100,Fixed Rate Bond,,USD
,CX_US743263AQ80_USD,ISIN,CX_US743263AQ80_USD,100,Fixed Rate Bond,,USD
,CX_KR7180640005_KSC,ISIN,CX_KR7180640005_KSC,100,Common Stock,,USD
,CX_XS1117287398_EUR,ISIN,CX_XS1117287398_EUR,100,Fixed Rate Bond,,USD
,CX_CH0246788183_CHF,ISIN,CX_CH0246788183_CHF,100,Fixed Rate Bond,,USD
,CX_CA89346D1078_CAQ,ISIN,CX_CA89346D1078_CAQ,100,Common Stock,,USD
,CX_FR0010948257_EUR,ISIN,CX_FR0010948257_EUR,100,Fixed Rate Bond,,USD
,CX_CA07813ZBV54_CAD,ISIN,CX_CA07813ZBV54_CAD,100,Interest Rate Index Linked Note,,USD
,CX_US3936571013_NYQ,ISIN,CX_US3936571013_NYQ,100,Common Stock,,USD
,CX_US90131HBQ74_USD,ISIN,CX_US90131HBQ74_USD,100,Fixed Rate Bond,,USD
,CX_XS1485608118_EUR,ISIN,CX_XS1485608118_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US8826811098_NSQ,ISIN,CX_US8826811098_NSQ,100,Common Stock,,USD
,CX_DE0006047004_GER,ISIN,CX_DE0006047004_GER,100,Common Stock,,USD
,CX_US294549AR14_USD,ISIN,CX_US294549AR14_USD,100,Fixed Rate Bond,,USD
,CX_XS1289193176_EUR,ISIN,CX_XS1289193176_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US341081FJ12_USD,ISIN,CX_US341081FJ12_USD,100,Interest Rate Index Linked Note,,USD
,CX_US459506AE19_USD,ISIN,CX_US459506AE19_USD,100,Interest Rate Index Linked Note,,USD
,CX_KR7005180005_KSC,ISIN,CX_KR7005180005_KSC,100,Common Stock,,USD
,301839_00000063 - Forex Leg GBP,ISIN,301839_00000063 - Forex Leg GBP,100,Fixed Rate Bond,,USD
,CX_TW0002454006_TAI,ISIN,CX_TW0002454006_TAI,100,Common Stock,,USD
,CX_US5370081045_NSQ,ISIN,CX_US5370081045_NSQ,100,Common Stock,,USD
,CX_US74005PBD50_USD,ISIN,CX_US74005PBD50_USD,100,Interest Rate Index Linked Note,,USD
,CX_US209111EX75_USD,ISIN,CX_US209111EX75_USD,100,Fixed Rate Bond,,USD
,CX_US92343VCR33_USD,ISIN,CX_US92343VCR33_USD,100,Interest Rate Index Linked Note,,USD
,CX_ZAE000210688_JNB,ISIN,CX_ZAE000210688_JNB,100,Common Stock,,USD
,CX_XS0873793375_EUR,ISIN,CX_XS0873793375_EUR,100,Fixed Rate Bond,,USD
,CX_XS0808635436_EUR-Fix,ISIN,CX_XS0808635436_EUR-Fix,100,Fixed Rate Bond,,USD
,CX_US03762U1051_NYQ,ISIN,CX_US03762U1051_NYQ,100,Common Stock,,USD
,CX_US4627261005_NSQ,ISIN,CX_US4627261005_NSQ,100,Common Stock,,USD
,CX_US22303QAH39_USD,ISIN,CX_US22303QAH39_USD,100,Fixed Rate Bond,,USD
,CX_XS1578213933_GBP,ISIN,CX_XS1578213933_GBP,100,Fixed Rate Bond,,USD
,CX_US00206RAD44_USD,ISIN,CX_US00206RAD44_USD,100,Fixed Rate Bond,,USD
,CX_XS1030998469_GBP,ISIN,CX_XS1030998469_GBP,100,Interest Rate Index Linked Note,,USD
,CX_BMG0450A1053_NSQ,ISIN,CX_BMG0450A1053_NSQ,100,Common Stock,,USD
,CX_CH0118886735_CHF,ISIN,CX_CH0118886735_CHF,100,Fixed Rate Bond,,USD
,CX_CH0341725858_CHF,ISIN,CX_CH0341725858_CHF,100,Fixed Rate Bond,,USD
,CX_US548661DJ38_USD,ISIN,CX_US548661DJ38_USD,100,Interest Rate Index Linked Note,,USD
,CX_CA74342Q1046_CAQ,ISIN,CX_CA74342Q1046_CAQ,100,Common Stock,,USD
,CX_US0499041053_NSQ,ISIN,CX_US0499041053_NSQ,100,Common Stock,,USD
,CX_CH0362748276_CHF,ISIN,CX_CH0362748276_CHF,100,Fixed Rate Bond,,USD
,CX_US694308GE15_USD,ISIN,CX_US694308GE15_USD,100,Fixed Rate Bond,,USD
,CX_SE0007666110_STO,ISIN,CX_SE0007666110_STO,100,Common Stock,,USD
,CX_US6102361010_NSQ,ISIN,CX_US6102361010_NSQ,100,Common Stock,,USD
,CX_CH0033961746_CHF,ISIN,CX_CH0033961746_CHF,100,Fixed Rate Bond,,USD
,302227_00000594 - Forex Leg CHF,ISIN,302227_00000594 - Forex Leg CHF,100,Fixed Rate Bond,,USD
,CX_INE012A01025_NSI,ISIN,CX_INE012A01025_NSI,100,Common Stock,,USD
,CX_US26444HAA95_USD,ISIN,CX_US26444HAA95_USD,100,Interest Rate Index Linked Note,,USD
,CX_US5024131071_NYQ,ISIN,CX_US5024131071_NYQ,100,Common Stock,,USD
,CX_US037833CH12_USD,ISIN,CX_US037833CH12_USD,100,Interest Rate Index Linked Note,,USD
,CX_US0545402085_NSQ,ISIN,CX_US0545402085_NSQ,100,Common Stock,,USD
,CX_US06051GFS30_USD,ISIN,CX_US06051GFS30_USD,100,Fixed Rate Bond,,USD
,CX_FR0010112524_PAR,ISIN,CX_FR0010112524_PAR,100,Common Stock,,USD
,CX_US8998961044_NYQ,ISIN,CX_US8998961044_NYQ,100,Common Stock,,USD
,CX_CH0186162613_CHF,ISIN,CX_CH0186162613_CHF,100,Fixed Rate Bond,,USD
,CX_US718549AD00_USD,ISIN,CX_US718549AD00_USD,100,Interest Rate Index Linked Note,,USD
,56086_00017196 - Forex Leg USD,ISIN,56086_00017196 - Forex Leg USD,100,Fixed Rate Bond,,USD
,CX_US42217KAS50_USD,ISIN,CX_US42217KAS50_USD,100,Fixed Rate Bond,,USD
,CX_KR7004000006_KSC,ISIN,CX_KR7004000006_KSC,100,Common Stock,,USD
,CX_US95709TAJ97_USD,ISIN,CX_US95709TAJ97_USD,100,Interest Rate Index Linked Note,,USD
,CX_GB0033057794_LSE,ISIN,CX_GB0033057794_LSE,100,Common Stock,,USD
,CX_JP3733000008_TYO,ISIN,CX_JP3733000008_TYO,100,Common Stock,,USD
,CX_US166764AB69_USD,ISIN,CX_US166764AB69_USD,100,Interest Rate Index Linked Note,,USD
,69312_00036599 - Forex Leg USD,ISIN,69312_00036599 - Forex Leg USD,100,Fixed Rate Bond,,USD
,CX_US931142CH46_USD,ISIN,CX_US931142CH46_USD,100,Fixed Rate Bond,,USD
,CX_US6404911066_NSQ,ISIN,CX_US6404911066_NSQ,100,Common Stock,,USD
,56086_00017297 - Forex Leg CHF,ISIN,56086_00017297 - Forex Leg CHF,100,Fixed Rate Bond,,USD
,CX_US337738AP30_USD,ISIN,CX_US337738AP30_USD,100,Interest Rate Index Linked Note,,USD
,CX_GG00B4L84979_LSE,ISIN,CX_GG00B4L84979_LSE,100,Common Stock,,USD
,CX_US075896AA80_USD,ISIN,CX_US075896AA80_USD,100,Interest Rate Index Linked Note,,USD
,CX_US097023AX34_USD,ISIN,CX_US097023AX34_USD,100,Fixed Rate Bond,,USD
,CX_US12189LAT89_USD,ISIN,CX_US12189LAT89_USD,100,Interest Rate Index Linked Note,,USD
,CX_US723787AK36_USD,ISIN,CX_US723787AK36_USD,100,Interest Rate Index Linked Note,,USD
,CX_CH0252903726_CHF,ISIN,CX_CH0252903726_CHF,100,Fixed Rate Bond,,USD
,CX_US4508281080_NSQ,ISIN,CX_US4508281080_NSQ,100,Common Stock,,USD
,CX_FR0012329845_EUR-Float,ISIN,CX_FR0012329845_EUR-Float,100,Interest Rate Index Linked Note,,USD
,CX_US81180WAH43_USD,ISIN,CX_US81180WAH43_USD,100,Fixed Rate Bond,,USD
,CX_US345370CQ17_USD,ISIN,CX_US345370CQ17_USD,100,Fixed Rate Bond,,USD
,CX_FR0011119460_EUR,ISIN,CX_FR0011119460_EUR,100,Fixed Rate Bond,,USD
,69312_00035400 - Forex Leg USD,ISIN,69312_00035400 - Forex Leg USD,100,Fixed Rate Bond,,USD
,CX_XS0426014899_GBP,ISIN,CX_XS0426014899_GBP,100,Fixed Rate Bond,,USD
,CX_XS0742069643_EUR,ISIN,CX_XS0742069643_EUR,100,Fixed Rate Bond,,USD
,CX_US87612EBE59_USD,ISIN,CX_US87612EBE59_USD,100,Fixed Rate Bond,,USD
,CX_US571748AZ55_USD,ISIN,CX_US571748AZ55_USD,100,Interest Rate Index Linked Note,,USD
,CX_XS0521000975_EUR,ISIN,CX_XS0521000975_EUR,100,Fixed Rate Bond,,USD
,CX_US950840AC22_USD,ISIN,CX_US950840AC22_USD,100,Fixed Rate Bond,,USD
,CX_US6676551046_NYQ,ISIN,CX_US6676551046_NYQ,100,Common Stock,,USD
,CX_US9741551033_NSQ,ISIN,CX_US9741551033_NSQ,100,Common Stock,,USD
,CX_US948741AJ29_USD,ISIN,CX_US948741AJ29_USD,100,Interest Rate Index Linked Note,,USD
,CX_XS1492825051_EUR,ISIN,CX_XS1492825051_EUR,100,Fixed Rate Bond,,USD
,CX_BMG3361N1258_HKG,ISIN,CX_BMG3361N1258_HKG,100,Common Stock,,USD
,CX_US4943681035_NYQ,ISIN,CX_US4943681035_NYQ,100,Common Stock,,USD
,CX_US0441031095_NYQ,ISIN,CX_US0441031095_NYQ,100,Common Stock,,USD
,CX_XS1418788755_EUR-Float,ISIN,CX_XS1418788755_EUR-Float,100,Interest Rate Index Linked Note,,USD
,CX_XS1506615282_EUR,ISIN,CX_XS1506615282_EUR,100,Interest Rate Index Linked Note,,USD
,CX_GB00B74CDH82_LSE,ISIN,CX_GB00B74CDH82_LSE,100,Common Stock,,USD
,CX_US713448CR70_USD,ISIN,CX_US713448CR70_USD,100,Fixed Rate Bond,,USD
,85027_00004833 - Forex Leg CHF,ISIN,85027_00004833 - Forex Leg CHF,100,Fixed Rate Bond,,USD
,CX_ZAE000177218_JNB,ISIN,CX_ZAE000177218_JNB,100,Common Stock,,USD
,CX_XS1069552393_EUR,ISIN,CX_XS1069552393_EUR,100,Fixed Rate Bond,,USD
,CX_US65364UAH95_USD,ISIN,CX_US65364UAH95_USD,100,Interest Rate Index Linked Note,,USD
,CX_CH0120408122_CHF,ISIN,CX_CH0120408122_CHF,100,Fixed Rate Bond,,USD
,CX_US0441861046_NYQ,ISIN,CX_US0441861046_NYQ,100,Common Stock,,USD
,CX_US4404071049_NSQ,ISIN,CX_US4404071049_NSQ,100,Common Stock,,USD
,CX_XS1177459531_EUR,ISIN,CX_XS1177459531_EUR,100,Fixed Rate Bond,,USD
,CX_US637432LR45_USD,ISIN,CX_US637432LR45_USD,100,Fixed Rate Bond,,USD
,CX_MYL5681OO001_KLS,ISIN,CX_MYL5681OO001_KLS,100,Common Stock,,USD
,CX_KR7007310006_KSC,ISIN,CX_KR7007310006_KSC,100,Common Stock,,USD
,CX_US927804FQ23_USD,ISIN,CX_US927804FQ23_USD,100,Interest Rate Index Linked Note,,USD
,CX_XS0907301260_EUR,ISIN,CX_XS0907301260_EUR,100,Fixed Rate Bond,,USD
,CX_ZAE000145892_JNB,ISIN,CX_ZAE000145892_JNB,100,Common Stock,,USD
,CX_US8448951025_NYQ,ISIN,CX_US8448951025_NYQ,100,Common Stock,,USD
,CX_US865622BJ28_USD,ISIN,CX_US865622BJ28_USD,100,Fixed Rate Bond,,USD
,CX_US037833AY62_USD,ISIN,CX_US037833AY62_USD,100,Fixed Rate Bond,,USD
,CX_US61166W1018_NYQ,ISIN,CX_US61166W1018_NYQ,100,Common Stock,,USD
,CX_US052769AE63_USD,ISIN,CX_US052769AE63_USD,100,Interest Rate Index Linked Note,,USD
,CX_FR0011223692_EUR,ISIN,CX_FR0011223692_EUR,100,Fixed Rate Bond,,USD
,CX_KR7082270000_KOE,ISIN,CX_KR7082270000_KOE,100,Common Stock,,USD
,CX_US87305QCL32_USD,ISIN,CX_US87305QCL32_USD,100,Fixed Rate Bond,,USD
,CX_PLEURCH00011_WSE,ISIN,CX_PLEURCH00011_WSE,100,Common Stock,,USD
,CX_US7703231032_NYQ,ISIN,CX_US7703231032_NYQ,100,Common Stock,,USD
,CX_US760759AK65_USD,ISIN,CX_US760759AK65_USD,100,Fixed Rate Bond,,USD
,CX_US8621211007_NYQ,ISIN,CX_US8621211007_NYQ,100,Common Stock,,USD
,CX_FR0013231768_EUR,ISIN,CX_FR0013231768_EUR,100,Interest Rate Index Linked Note,,USD
,CX_PL0000106670_PLN,ISIN,CX_PL0000106670_PLN,100,Fixed Rate Bond,,USD
,CX_US571903AM51_USD,ISIN,CX_US571903AM51_USD,100,Interest Rate Index Linked Note,,USD
,CX_BMG454221059_OSL,ISIN,CX_BMG454221059_OSL,100,Common Stock,,USD
,CX_US12189LAA98_USD,ISIN,CX_US12189LAA98_USD,100,Interest Rate Index Linked Note,,USD
,CX_HK0000049939_HKG,ISIN,CX_HK0000049939_HKG,100,Common Stock,,USD
,CX_US74456QBA31_USD,ISIN,CX_US74456QBA31_USD,100,Interest Rate Index Linked Note,,USD
,CX_US559222AQ72_USD,ISIN,CX_US559222AQ72_USD,100,Interest Rate Index Linked Note,,USD
,CX_FR0010918490_EUR,ISIN,CX_FR0010918490_EUR,100,Fixed Rate Bond,,USD
,CX_US459200AM34_USD,ISIN,CX_US459200AM34_USD,100,Fixed Rate Bond,,USD
,CX_FR0013241676_EUR,ISIN,CX_FR0013241676_EUR,100,Interest Rate Index Linked Note,,USD
,CX_US891490AT14_USD,ISIN,CX_US891490AT14_USD,100,Fixed Rate Bond,,USD
,CX_CA80310ZAA71_CAD,ISIN,CX_CA80310ZAA71_CAD,100,Fixed Rate Bond,,USD
,302226_00000668 - Forex Leg CHF,ISIN,302226_00000668 - Forex Leg CHF,100,Fixed Rate Bond,,USD
,CX_DE000A1X3X33_GER,ISIN,CX_DE000A1X3X33_GER,100,Common Stock,,USD
,CX_US94973VBJ52_USD,ISIN,CX_US94973VBJ52_USD,100,Interest Rate Index Linked Note,,USD
,CX_US66989HAJ77_USD,ISIN,CX_US66989HAJ77_USD,100,Interest Rate Index Linked Note,,USD
,CX_BRTAEECDAM10_SAO,ISIN,CX_BRTAEECDAM10_SAO,100,Common Stock,,USD
,CX_XS1003373476_GBP,ISIN,CX_XS1003373476_GBP,100,Fixed Rate Bond,,USD
,CX_US6907321029_NYQ,ISIN,CX_US6907321029_NYQ,100,Common Stock,,USD
,CX_IT0004998065_MIL,ISIN,CX_IT0004998065_MIL,100,Common Stock,,USD
,CX_US053332AT96_USD,ISIN,CX_US053332AT96_USD,100,Interest Rate Index Linked Note,,USD
,CX_XS1294343337_EUR,ISIN,CX_XS1294343337_EUR,100,Interest Rate Index Linked Note,,USD
,CX_CNE1000003K3_HKG,ISIN,CX_CNE1000003K3_HKG,100,Common Stock,,USD
,CX_JP3629000005_TYO,ISIN,CX_JP3629000005_TYO,100,Common Stock,,USD
,GOLDLNPM Index,ISIN,GOLDLNPM Index,100,Common Stock,,USD
,CX_FR0011689579_EUR,ISIN,CX_FR0011689579_EUR,100,Fixed Rate Bond,,USD
,CX_US00081T1088_NYQ,ISIN,CX_US00081T1088_NYQ,100,Common Stock,,USD
,CX_INE124G01033_NSI,ISIN,CX_INE124G01033_NSI,100,Common Stock,,USD
,302226_00000663 - Forex Leg CHF,ISIN,302226_00000663 - Forex Leg CHF,100,Fixed Rate Bond,,USD
,CX_CA539481AH40_CAD,ISIN,CX_CA539481AH40_CAD,100,Fixed Rate Bond,,USD
,CX_MYBMO1600034_MYR,ISIN,CX_MYBMO1600034_MYR,100,Fixed Rate Bond,,USD
,CX_US31620RAF29_USD,ISIN,CX_US31620RAF29_USD,100,Fixed Rate Bond,,USD
,69313_00033718 - Forex Leg USD,ISIN,69313_00033718 - Forex Leg USD,100,Fixed Rate Bond,,USD
,CX_ID1000108400_JKT,ISIN,CX_ID1000108400_JKT,100,Common Stock,,USD
,CX_US1686151028_NYQ,ISIN,CX_US1686151028_NYQ,100,Common Stock,,USD
,CX_DE000A1UDWN5_EUR,ISIN,CX_DE000A1UDWN5_EUR,100,Fixed Rate Bond,,USD
